Age,AnnualSalary,Attrition,Department,EmployeeID,EngagementScore,JobRole,JobSatisfaction,OverTime,PerformanceRating,TenureYears,WorkLifeBalance,WorkMode,YearsSinceLastPromotion,CandidateID,HireSource,TimeToHireDays,HireDate,NameMatchScore,MatchStatus,TicketCount,EscalatedTickets,AvgResolveDays,AttritionRiskScore,RiskSegment
27,62916,No,Sales,26,4,Sales Manager,1,No,3,4.7,3,Remote,2.5,9026,LinkedIn,13,2023-06-19,1.0,OK,11,1,1.9090909090909092,0.022601932,Low
44,100910,No,Finance,27,4,Finance Manager,1,No,3,3.8,4,On-site,3.8,9027,Recruiter Sourced,16,2021-02-20,1.0,OK,3,1,3.6666666666666665,0.02356352,Low
31,58379,Yes,News & Content,28,4,Photojournalist,2,No,3,0.4,1,Hybrid,0.4,9028,Indeed,22,2023-09-08,1.0,OK,5,2,3.2,0.9740117,High
37,57835,No,News & Content,29,3,Photojournalist,3,No,3,15.4,3,On-site,2.9,9029,Employee Referral,41,2019-06-11,1.0,OK,5,0,4.8,0.01994588,Low
40,95111,No,News & Content,30,4,News Director,1,No,4,2.5,3,On-site,0.8,9030,Career Site,45,2022-09-29,1.0,OK,3,0,7.0,0.03167422,Low
33,99552,No,Sales,31,3,Account Executive,4,Yes,3,13.0,3,Hybrid,0.2,9031,Career Site,31,2019-02-03,1.0,OK,2,0,0.5,0.005113957,Low
40,34000,Yes,Finance,32,3,Accountant,4,Yes,3,0.3,2,On-site,0.3,9032,Employee Referral,25,2025-03-29,1.0,OK,5,1,5.0,0.95928264,High
32,34010,Yes,Sales,33,3,Account Executive,2,No,4,10.0,2,On-site,4.4,9033,Recruiter Sourced,14,2019-08-07,1.0,OK,2,0,3.0,0.9207118,High
46,80705,No,News & Content,34,4,News Director,3,No,3,0.4,2,On-site,0.0,9034,Employee Referral,48,2025-07-19,1.0,OK,3,0,0.3333333333333333,0.038381662,Low
43,92528,No,Sales,35,3,Account Executive,2,Yes,3,5.1,3,Hybrid,1.7,9035,LinkedIn,49,2020-03-05,1.0,OK,3,1,2.0,0.019599874,Low
41,74734,No,News & Content,36,3,Photojournalist,4,No,3,21.0,3,Hybrid,1.3,9036,Indeed,22,2022-06-11,1.0,OK,5,0,4.6,0.004688807,Low
36,55183,Yes,Finance,37,2,Financial Analyst,2,No,3,0.5,3,On-site,0.5,9037,Recruiter Sourced,20,2019-05-08,1.0,OK,1,1,5.0,0.94932103,High
21,87997,No,Sales,38,4,Account Executive,2,No,3,1.0,4,On-site,1.0,9038,Career Site,33,2023-02-16,1.0,OK,7,1,1.4285714285714286,0.122671634,Low
25,77308,No,Finance,39,3,Accountant,4,No,3,2.4,4,Hybrid,2.4,9039,Career Site,53,2025-04-01,1.0,OK,4,0,4.75,0.00039382986,Low
39,72146,No,Sales,40,4,Sales Coordinator,4,Yes,3,1.4,4,Remote,1.3,9040,Indeed,38,2023-10-28,1.0,OK,5,0,1.0,0.5227251,Medium
48,115158,No,News & Content,41,3,Producer,1,No,4,2.0,3,Hybrid,1.6,9041,Indeed,28,2022-10-07,1.0,OK,7,0,1.5714285714285714,0.07341087,Low
39,44982,Yes,News & Content,42,1,Photojournalist,1,No,3,4.4,3,Remote,1.1,9042,Employee Referral,33,2024-03-03,1.0,OK,7,0,1.8571428571428572,0.93219805,High
33,109364,No,News & Content,43,4,Producer,4,No,3,4.4,2,Hybrid,1.5,9043,Employee Referral,15,2020-08-09,1.0,OK,1,0,1.0,0.002262286,Low
42,85582,No,News & Content,44,3,Editor,3,No,3,3.9,3,On-site,0.4,9044,Indeed,47,2021-06-28,1.0,OK,4,0,5.0,0.007288091,Low
28,86113,Yes,Engineering,45,2,IT Support,1,Yes,3,1.0,2,Hybrid,0.2,9045,Recruiter Sourced,27,2023-05-29,1.0,OK,3,1,1.6666666666666667,0.9868947,High
26,70834,No,News & Content,46,3,Photojournalist,4,No,4,1.7,2,On-site,0.0,9046,Career Site,14,2019-02-16,1.0,OK,5,1,1.6,0.004625042,Low
32,37614,No,News & Content,47,3,News Director,3,No,3,3.0,3,Hybrid,0.1,9047,Employee Referral,31,2026-01-01,1.0,OK,1,0,4.0,0.028894922,Low
47,39246,No,News & Content,48,4,Photojournalist,1,No,2,9.1,2,Hybrid,4.0,9048,Employee Referral,28,2020-03-24,1.0,OK,7,2,2.857142857142857,0.33797777,Medium
54,96685,No,Sales,49,1,Account Executive,3,No,3,7.0,3,On-site,3.0,9049,University Recruiting,40,2022-06-28,1.0,OK,5,0,4.0,0.002445924,Low
24,34000,Yes,News & Content,50,1,Reporter,4,No,4,1.3,2,On-site,1.3,9050,Recruiter Sourced,49,2025-09-04,1.0,OK,5,0,4.2,0.9793005,High
45,76065,No,Engineering,51,3,IT Support,4,No,3,0.1,4,Hybrid,0.1,9051,Recruiter Sourced,51,2019-03-14,1.0,OK,0,0,0.0,0.0061446377,Low
42,78044,Yes,Finance,52,4,Finance Manager,4,No,3,1.0,1,Hybrid,1.0,9052,Recruiter Sourced,36,2024-12-19,1.0,OK,3,0,1.6666666666666667,0.069264136,Low
57,127551,Yes,News & Content,53,1,Reporter,4,Yes,3,1.0,2,Hybrid,0.3,9053,LinkedIn,30,2019-01-17,1.0,OK,6,1,3.6666666666666665,0.98782533,High
39,76752,Yes,Engineering,54,1,Systems Engineer,2,No,3,0.6,4,Hybrid,0.6,9054,LinkedIn,29,2023-01-09,1.0,OK,12,1,2.0833333333333335,0.9390354,High
33,84843,No,Sales,55,4,Sales Manager,3,No,3,1.2,2,Hybrid,1.2,9055,Recruiter Sourced,7,2026-01-24,1.0,OK,1,1,2.0,0.0033737575,Low
46,65302,Yes,News & Content,56,4,Producer,3,Yes,3,1.2,3,On-site,1.2,9056,Employee Referral,38,2021-11-20,1.0,OK,4,0,1.0,0.8306203,High
37,101523,No,Sales,57,4,Sales Coordinator,3,No,3,6.1,4,On-site,3.3,9057,Employee Referral,39,2021-07-06,1.0,OK,2,0,2.0,0.00038671336,Low
56,64443,No,Human Resources,58,2,HR Manager,4,No,3,7.7,2,Hybrid,2.8,9058,LinkedIn,31,2024-03-24,1.0,OK,2,0,1.5,0.0033062368,Low
49,82028,No,News & Content,59,2,Editor,2,No,4,14.4,3,On-site,2.1,9059,Indeed,21,2025-02-23,1.0,OK,9,1,2.7777777777777777,0.39109942,Medium
33,121900,No,Human Resources,60,4,HR Generalist,4,No,3,12.1,2,Hybrid,2.1,9060,University Recruiting,52,2020-09-07,1.0,OK,1,0,0.0,0.00041585218,Low
31,58129,Yes,Finance,61,2,Accountant,4,Yes,3,0.9,2,Hybrid,0.9,9061,University Recruiting,33,2018-11-19,1.0,OK,7,1,3.857142857142857,0.9079557,High
31,95048,No,News & Content,62,3,Editor,2,No,3,2.3,4,On-site,0.6,9062,LinkedIn,12,2019-02-14,1.0,OK,6,0,1.6666666666666667,0.038598925,Low
48,52449,No,Sales,63,2,Sales Coordinator,2,No,3,1.5,3,Hybrid,1.4,9063,LinkedIn,35,2020-12-28,1.0,OK,6,0,2.6666666666666665,0.79273874,High
39,109791,No,News & Content,64,3,Photojournalist,2,No,3,2.3,3,On-site,2.3,9064,Indeed,28,2026-02-12,1.0,OK,5,1,1.6,0.01995458,Low
21,102562,No,Human Resources,65,2,HR Manager,3,No,3,1.0,2,On-site,1.0,9065,Employee Referral,40,2026-03-30,1.0,OK,7,0,5.857142857142857,0.5006024,Medium
55,106221,No,Sales,66,2,Sales Manager,2,No,3,9.1,3,Remote,0.9,9066,Employee Referral,30,2019-05-03,1.0,OK,4,1,2.0,0.11130236,Low
50,83769,No,News & Content,67,2,Reporter,4,No,3,14.8,3,Hybrid,0.2,9067,Employee Referral,38,2024-05-11,1.0,OK,4,1,4.75,0.076678805,Low
46,37237,No,Human Resources,68,3,HR Generalist,3,No,3,7.7,2,On-site,1.2,9068,Employee Referral,33,2022-10-24,1.0,OK,5,0,1.4,0.06393611,Low
39,44672,Yes,News & Content,69,2,News Director,3,No,3,19.0,3,On-site,3.0,9069,Career Site,23,2020-01-28,1.0,OK,4,3,1.0,0.92120856,High
25,56886,No,News & Content,70,4,Reporter,1,No,3,3.4,2,Hybrid,0.7,9070,Career Site,44,2022-10-08,1.0,OK,3,1,5.0,0.053081162,Low
29,46530,No,Engineering,71,3,IT Support,2,No,3,5.9,3,Hybrid,4.0,9071,LinkedIn,52,2020-07-19,1.0,OK,6,4,1.6666666666666667,0.07720639,Low
28,34000,Yes,Finance,72,2,Financial Analyst,3,No,3,0.4,3,Hybrid,0.4,9072,Indeed,52,2023-07-25,1.0,OK,3,0,4.0,0.6617256,High
21,68530,No,News & Content,73,4,Photojournalist,2,No,3,1.0,4,Hybrid,0.4,9073,Employee Referral,27,2019-12-28,1.0,OK,7,3,2.4285714285714284,0.60892755,Medium
24,34000,No,News & Content,74,4,Photojournalist,4,No,3,4.0,3,On-site,2.0,9074,Employee Referral,46,2024-07-21,1.0,OK,2,0,2.5,0.10253293,Low
44,100283,No,Finance,75,4,Financial Analyst,1,No,3,3.3,4,Hybrid,3.1,9075,Employee Referral,56,2021-11-18,1.0,OK,3,0,1.6666666666666667,0.0027145995,Low
48,84029,Yes,Sales,76,3,Sales Manager,2,Yes,3,0.2,4,Remote,0.2,9076,Employee Referral,45,2019-05-28,1.0,OK,4,1,3.0,0.96424437,High
44,94166,No,Finance,77,3,Finance Manager,3,No,3,0.3,3,Hybrid,0.3,9077,Indeed,42,2023-09-02,1.0,OK,1,0,1.0,0.0012408752,Low
48,76911,No,News & Content,78,4,News Director,3,No,3,3.8,3,Hybrid,3.8,9078,Employee Referral,18,2021-06-03,1.0,OK,4,1,2.25,0.008011717,Low
38,101833,No,Finance,79,4,Finance Manager,4,No,3,12.6,3,Hybrid,1.1,9079,Career Site,42,2022-03-25,1.0,OK,1,0,9.0,0.0008144734,Low
52,71751,No,News & Content,80,4,Photojournalist,2,No,4,5.9,3,On-site,0.7,9080,Employee Referral,31,2023-11-18,1.0,OK,7,0,3.4285714285714284,0.048912495,Low
27,91113,No,Sales,81,1,Account Executive,4,No,3,7.0,3,Hybrid,6.4,9081,LinkedIn,29,2025-08-15,1.0,OK,4,0,1.0,0.0028154335,Low
54,60355,No,News & Content,82,4,Reporter,4,No,3,0.2,4,Hybrid,0.2,9082,Career Site,41,2019-11-23,1.0,OK,3,1,3.6666666666666665,0.036130037,Low
52,56019,No,News & Content,83,4,Editor,2,Yes,3,5.4,2,Hybrid,1.7,9083,Recruiter Sourced,51,2020-01-02,1.0,OK,4,1,2.0,0.43157586,Medium
34,70067,No,Engineering,84,4,Broadcast Engineer,4,Yes,3,8.6,2,On-site,0.0,9084,Employee Referral,67,2021-10-09,1.0,OK,3,1,3.3333333333333335,0.008012741,Low
44,42296,No,News & Content,85,3,Photojournalist,4,No,3,0.4,3,Hybrid,0.4,9085,Employee Referral,15,2021-04-05,1.0,OK,1,1,3.0,0.15201232,Low
42,54140,No,Engineering,86,2,IT Support,2,No,3,9.1,2,On-site,0.2,9086,LinkedIn,49,2019-10-29,1.0,OK,8,3,3.25,0.14858313,Low
36,76107,No,Engineering,87,2,Broadcast Engineer,4,No,2,1.8,4,On-site,1.6,9087,Career Site,42,2026-07-19,1.0,OK,3,0,3.6666666666666665,0.0049446016,Low
38,113863,No,News & Content,88,4,Reporter,1,No,3,4.5,3,Remote,0.9,9088,Employee Referral,49,2022-02-07,1.0,OK,6,2,3.1666666666666665,0.06497571,Low
45,99353,No,Sales,89,1,Sales Manager,1,No,3,2.9,4,Hybrid,2.5,9089,Employee Referral,36,2021-05-18,1.0,OK,7,0,3.2857142857142856,0.024466746,Low
51,115834,No,Sales,90,3,Account Executive,4,No,3,1.8,2,On-site,1.2,9090,Employee Referral,45,2021-01-29,1.0,OK,0,0,0.0,0.00030081504,Low
46,58148,No,Engineering,91,2,Broadcast Engineer,2,No,3,6.7,4,Remote,0.1,9091,Employee Referral,36,2026-06-29,1.0,OK,7,1,3.2857142857142856,0.14273682,Low
53,52095,No,News & Content,92,3,Reporter,1,No,4,10.1,3,On-site,1.4,9092,Career Site,18,2021-02-26,1.0,OK,4,1,0.75,0.073853254,Low
36,38774,No,Engineering,93,4,Broadcast Engineer,1,No,3,3.4,2,Hybrid,3.4,9093,Career Site,43,2021-07-14,1.0,OK,4,1,2.25,0.02280049,Low
44,34859,Yes,News & Content,94,3,Producer,3,Yes,3,0.8,4,On-site,0.8,9094,Employee Referral,21,2024-09-02,1.0,OK,8,1,3.25,0.9913242,High
48,41378,Yes,Finance,95,1,Accountant,4,Yes,4,8.9,3,On-site,0.6,9095,LinkedIn,44,2022-01-02,1.0,OK,6,0,3.3333333333333335,0.92659086,High
37,100647,No,Human Resources,96,4,HR Manager,1,No,3,6.7,3,Hybrid,6.7,9096,Recruiter Sourced,50,2024-05-13,1.0,OK,2,0,3.5,0.02686812,Low
51,97889,No,Engineering,97,1,Systems Engineer,4,No,3,0.1,3,Hybrid,0.1,9097,Career Site,22,2023-06-05,1.0,OK,1,1,1.0,0.02157692,Low
32,130107,No,Sales,98,4,Sales Manager,3,Yes,3,7.6,1,Remote,0.6,9098,LinkedIn,35,2023-01-24,1.0,OK,4,0,1.5,0.08760252,Low
54,66287,No,Sales,99,1,Sales Coordinator,3,Yes,3,9.2,2,Hybrid,2.3,9099,Employee Referral,45,2020-04-09,1.0,OK,13,1,1.6923076923076923,0.035857264,Low
37,102549,No,News & Content,100,4,Photojournalist,4,No,4,0.3,3,On-site,0.3,9100,Indeed,30,2024-09-07,1.0,OK,1,0,0.0,0.009073043,Low
54,59151,No,Engineering,101,4,Broadcast Engineer,4,No,4,3.0,3,On-site,2.0,9101,Recruiter Sourced,69,2025-12-20,1.0,OK,3,0,1.6666666666666667,0.00040986136,Low
51,118395,No,Human Resources,102,3,HR Generalist,3,No,3,6.7,3,On-site,0.2,9102,Indeed,35,2020-08-04,1.0,OK,1,0,6.0,0.00025902857,Low
31,79714,No,News & Content,103,3,Producer,2,Yes,3,4.8,4,On-site,2.0,9103,Employee Referral,21,2026-04-02,1.0,OK,4,0,0.75,0.59508145,Medium
30,34000,No,Engineering,104,3,Systems Engineer,4,No,3,0.8,2,On-site,0.8,9104,Employee Referral,46,2022-02-20,1.0,OK,2,0,3.0,0.13756995,Low
43,34000,No,Sales,105,3,Account Executive,4,No,2,6.9,4,Remote,1.7,9105,Career Site,32,2021-09-26,1.0,OK,2,0,0.5,0.022457931,Low
33,92513,Yes,Sales,106,3,Account Executive,2,Yes,4,0.6,1,On-site,0.6,9106,University Recruiting,43,2024-05-15,1.0,OK,6,1,2.0,0.9531957,High
38,83203,No,Finance,107,3,Accountant,3,Yes,3,1.3,3,Remote,0.3,9107,University Recruiting,28,2026-06-04,1.0,OK,4,1,4.0,0.2865173,Low
43,102046,No,Sales,108,3,Sales Coordinator,2,No,3,5.0,4,Hybrid,2.5,9108,LinkedIn,44,2023-04-29,1.0,OK,5,1,0.6,0.0035092998,Low
49,105236,No,Engineering,109,3,Broadcast Engineer,3,Yes,4,1.1,3,On-site,1.1,9109,Recruiter Sourced,21,2022-09-13,1.0,OK,3,0,2.3333333333333335,0.04754129,Low
41,55078,No,Engineering,110,4,Broadcast Engineer,3,No,4,0.4,4,On-site,0.4,9110,Indeed,27,2026-07-04,1.0,OK,1,0,0.0,0.0021824557,Low
39,43197,No,Engineering,111,3,Broadcast Engineer,2,No,3,0.1,3,On-site,0.1,9111,University Recruiting,42,2020-12-21,1.0,OK,6,1,2.0,0.35877338,Medium
31,107536,No,Sales,112,3,Sales Coordinator,3,No,3,0.8,4,On-site,0.8,9112,Employee Referral,56,2020-12-17,1.0,OK,3,0,1.6666666666666667,0.013532779,Low
36,34000,No,Sales,113,4,Account Executive,3,No,3,2.3,3,Remote,2.3,9113,Indeed,47,2020-05-02,1.0,OK,1,0,4.0,0.014562029,Low
53,71056,No,Sales,114,2,Account Executive,2,No,3,1.9,2,Hybrid,1.7,9114,Career Site,34,2025-05-28,1.0,OK,3,0,1.0,0.018535856,Low
27,73768,No,Human Resources,115,2,HR Generalist,4,No,4,7.0,2,On-site,0.5,9115,Career Site,21,2018-09-25,1.0,OK,5,0,3.6,0.010506953,Low
21,73368,Yes,Sales,116,2,Account Executive,2,No,4,1.0,3,On-site,1.0,9116,LinkedIn,51,2025-02-18,1.0,OK,6,1,0.8333333333333334,0.92945915,High
48,46437,No,Sales,117,4,Account Executive,4,Yes,3,8.6,4,On-site,1.2,9117,Recruiter Sourced,37,2024-01-29,1.0,OK,1,0,8.0,0.00389525,Low
48,98988,Yes,News & Content,118,3,Photojournalist,2,No,3,4.6,3,Hybrid,4.6,9118,Recruiter Sourced,37,2020-10-07,1.0,OK,4,1,1.0,0.3589323,Medium
47,102913,No,News & Content,119,1,Photojournalist,1,No,2,21.3,4,On-site,0.7,9119,Indeed,52,2022-12-27,1.0,OK,2,1,1.5,0.5733558,Medium
30,85814,No,News & Content,120,3,News Director,1,No,3,2.6,2,Hybrid,2.5,9120,Career Site,34,2023-01-04,1.0,OK,6,0,2.8333333333333335,0.03703606,Low
54,83732,No,Sales,121,3,Sales Manager,1,Yes,3,2.8,4,Hybrid,2.6,9121,Career Site,37,2025-12-19,1.0,OK,6,0,2.3333333333333335,0.04685932,Low
28,71439,No,Human Resources,122,1,HR Generalist,3,Yes,3,1.6,4,On-site,1.6,9122,LinkedIn,36,2019-10-19,1.0,OK,4,0,3.0,0.57662076,Medium
30,78309,No,News & Content,123,4,News Director,1,No,3,6.3,4,On-site,0.1,9123,LinkedIn,36,2018-11-11,1.0,OK,4,0,1.75,0.04640759,Low
35,56579,No,Finance,124,4,Financial Analyst,4,No,3,3.2,2,On-site,1.9,9124,Employee Referral,22,2021-05-28,1.0,OK,1,0,0.0,0.00020986088,Low
38,69231,No,News & Content,125,4,Producer,4,No,2,2.2,4,On-site,0.8,9125,LinkedIn,10,2019-09-01,1.0,OK,3,0,2.3333333333333335,0.0024251405,Low
29,75450,Yes,News & Content,126,2,News Director,3,Yes,4,3.8,3,On-site,3.8,9126,Indeed,38,2021-06-30,1.0,OK,5,0,2.4,0.89282626,High
34,44215,Yes,Finance,127,2,Accountant,1,No,3,0.3,4,On-site,0.3,9127,Employee Referral,22,2023-03-21,1.0,OK,5,0,1.2,0.9885339,High
40,73373,No,Sales,128,3,Sales Manager,3,Yes,3,0.1,3,Hybrid,0.1,9128,Indeed,29,2020-06-03,1.0,OK,2,0,3.5,0.036276426,Low
25,64710,No,News & Content,129,2,Producer,4,No,3,0.3,2,On-site,0.3,9129,Career Site,41,2025-01-17,1.0,OK,1,1,4.0,0.15764077,Low
30,34000,No,Sales,130,3,Sales Manager,3,No,2,2.5,4,On-site,2.5,9130,Employee Referral,17,2019-04-18,1.0,OK,2,0,0.0,0.010731734,Low
32,82970,Yes,News & Content,131,1,Photojournalist,2,No,4,3.4,2,Hybrid,3.4,9131,Employee Referral,65,2021-10-04,1.0,OK,6,1,4.0,0.80335224,High
28,61091,No,News & Content,132,4,News Director,3,No,4,1.4,3,On-site,1.1,9132,Indeed,57,2025-11-26,1.0,OK,2,1,1.0,0.069805294,Low
36,61366,No,Sales,133,4,Account Executive,2,No,3,12.0,4,On-site,1.1,9133,Career Site,34,2024-06-07,1.0,OK,4,0,2.75,0.0010873682,Low
47,128374,Yes,Engineering,134,1,Broadcast Engineer,1,Yes,2,6.0,3,Remote,0.2,9134,LinkedIn,39,2024-05-07,1.0,OK,2,1,2.0,0.9394001,High
40,71489,No,Human Resources,135,4,HR Manager,4,No,4,15.9,3,On-site,1.8,9135,Recruiter Sourced,28,2024-11-25,1.0,OK,1,0,4.0,0.00029661471,Low
36,88999,No,News & Content,136,2,Producer,3,No,3,1.6,2,Hybrid,1.6,9136,Employee Referral,12,2019-12-11,1.0,OK,2,0,1.5,0.055178724,Low
30,61625,No,Sales,137,3,Sales Manager,1,No,3,2.9,4,On-site,2.1,9137,Employee Referral,23,2025-03-01,1.0,OK,2,1,0.0,0.0049560075,Low
28,40794,No,Sales,138,4,Sales Coordinator,2,No,4,3.6,3,Hybrid,0.0,9138,Employee Referral,55,2024-01-28,1.0,OK,5,1,4.2,0.0115486905,Low
41,34000,No,News & Content,139,4,Producer,2,No,2,4.5,4,On-site,0.4,9139,Employee Referral,38,2023-03-03,1.0,OK,7,1,3.7142857142857144,0.4301115,Medium
47,83191,No,News & Content,140,2,Photojournalist,4,No,3,0.8,3,Hybrid,0.8,9140,Career Site,13,2025-10-27,1.0,OK,2,1,7.0,0.6383212,Medium
48,77740,No,News & Content,141,3,Editor,2,No,3,2.6,4,On-site,2.6,9141,Career Site,38,2023-04-28,1.0,OK,5,1,2.6,0.022070924,Low
46,38515,Yes,News & Content,142,4,Photojournalist,3,Yes,2,5.9,3,Hybrid,3.1,9142,Indeed,55,2020-12-17,1.0,OK,4,1,1.75,0.9371536,High
45,103420,No,Sales,143,3,Sales Manager,4,Yes,3,6.4,3,Hybrid,1.1,9143,LinkedIn,24,2024-05-28,1.0,OK,4,2,2.0,0.0022612754,Low
34,60968,No,News & Content,144,3,Photojournalist,3,No,3,0.1,4,On-site,0.1,9144,Career Site,17,2023-03-03,1.0,OK,5,2,2.0,0.096794866,Low
54,98780,No,Human Resources,145,4,HR Manager,2,Yes,3,7.4,3,Hybrid,0.1,9145,Employee Referral,30,2019-03-10,1.0,OK,5,0,2.2,0.22018227,Low
44,51928,Yes,News & Content,146,2,Photojournalist,1,No,4,0.7,3,Hybrid,0.7,9146,Employee Referral,58,2019-01-03,1.0,OK,4,1,2.25,0.9884886,High
24,71557,No,News & Content,147,4,News Director,4,No,3,4.0,4,Remote,0.5,9147,Indeed,17,2024-09-22,1.0,OK,2,0,4.0,0.0021545405,Low
29,55664,No,News & Content,148,3,Photojournalist,3,No,3,5.4,3,On-site,2.7,9148,LinkedIn,32,2021-05-05,1.0,OK,1,1,0.0,0.0018334473,Low
54,59201,No,Finance,149,3,Finance Manager,2,No,4,6.5,2,On-site,2.4,9149,LinkedIn,54,2025-02-04,1.0,OK,4,0,4.75,0.0089743575,Low
35,42060,No,Sales,150,2,Sales Coordinator,4,No,3,1.5,2,Hybrid,0.1,9150,Employee Referral,51,2021-11-22,1.0,OK,5,0,2.0,0.31586206,Low
21,43254,Yes,News & Content,151,3,Reporter,1,No,2,1.0,4,On-site,1.0,9151,LinkedIn,34,2025-07-02,1.0,OK,3,2,4.0,0.97567105,High
28,48543,Yes,Finance,152,2,Accountant,2,No,2,0.7,4,Hybrid,0.4,9152,Recruiter Sourced,64,2025-07-08,1.0,OK,3,0,2.0,0.9727729,High
40,104161,No,News & Content,153,4,Producer,1,Yes,3,3.3,4,On-site,2.7,9153,Career Site,31,2020-05-16,1.0,OK,5,2,2.2,0.35634318,Medium
21,66376,No,Sales,154,3,Sales Manager,4,No,3,1.0,4,On-site,1.0,9154,Indeed,34,2023-10-13,1.0,OK,1,0,0.0,0.016558144,Low
31,88869,Yes,Finance,155,2,Finance Manager,2,No,4,1.3,4,Remote,0.5,9155,University Recruiting,9,2023-05-18,1.0,OK,8,1,0.875,0.9803829,High
