Age,AnnualSalary,Attrition,Department,EmployeeID,EngagementScore,JobRole,JobSatisfaction,OverTime,PerformanceRating,TenureYears,WorkLifeBalance,WorkMode,YearsSinceLastPromotion
42,78044,Yes,Finance,52,4,Finance Manager,4,No,3,1.0,1,Hybrid,1.0
57,127551,Yes,News & Content,53,1,Reporter,4,Yes,3,1.0,2,Hybrid,0.3
39,76752,Yes,Engineering,54,1,Systems Engineer,2,No,3,0.6,4,Hybrid,0.6
33,84843,No,Sales,55,4,Sales Manager,3,No,3,1.2,2,Hybrid,1.2
46,65302,Yes,News & Content,56,4,Producer,3,Yes,3,1.2,3,On-site,1.2
37,101523,No,Sales,57,4,Sales Coordinator,3,No,3,6.1,4,On-site,3.3
56,64443,No,Human Resources,58,2,HR Manager,4,No,3,7.7,2,Hybrid,2.8
49,82028,No,News & Content,59,2,Editor,2,No,4,14.4,3,On-site,2.1
33,121900,No,Human Resources,60,4,HR Generalist,4,No,3,12.1,2,Hybrid,2.1
31,58129,Yes,Finance,61,2,Accountant,4,Yes,3,0.9,2,Hybrid,0.9
31,95048,No,News & Content,62,3,Editor,2,No,3,2.3,4,On-site,0.6
48,52449,No,Sales,63,2,Sales Coordinator,2,No,3,1.5,3,Hybrid,1.4
39,109791,No,News & Content,64,3,Photojournalist,2,No,3,2.3,3,On-site,2.3
21,102562,No,Human Resources,65,2,HR Manager,3,No,3,1.0,2,On-site,1.0
55,106221,No,Sales,66,2,Sales Manager,2,No,3,9.1,3,Remote,0.9
50,83769,No,News & Content,67,2,Reporter,4,No,3,14.8,3,Hybrid,0.2
46,37237,No,Human Resources,68,3,HR Generalist,3,No,3,7.7,2,On-site,1.2
39,44672,Yes,News & Content,69,2,News Director,3,No,3,19.0,3,On-site,3.0
25,56886,No,News & Content,70,4,Reporter,1,No,3,3.4,2,Hybrid,0.7
29,46530,No,Engineering,71,3,IT Support,2,No,3,5.9,3,Hybrid,4.0
28,34000,Yes,Finance,72,2,Financial Analyst,3,No,3,0.4,3,Hybrid,0.4
21,68530,No,News & Content,73,4,Photojournalist,2,No,3,1.0,4,Hybrid,0.4
24,34000,No,News & Content,74,4,Photojournalist,4,No,3,4.0,3,On-site,2.0
44,100283,No,Finance,75,4,Financial Analyst,1,No,3,3.3,4,Hybrid,3.1
48,84029,Yes,Sales,76,3,Sales Manager,2,Yes,3,0.2,4,Remote,0.2
44,94166,No,Finance,77,3,Finance Manager,3,No,3,0.3,3,Hybrid,0.3
48,76911,No,News & Content,78,4,News Director,3,No,3,3.8,3,Hybrid,3.8
38,101833,No,Finance,79,4,Finance Manager,4,No,3,12.6,3,Hybrid,1.1
52,71751,No,News & Content,80,4,Photojournalist,2,No,4,5.9,3,On-site,0.7
27,91113,No,Sales,81,1,Account Executive,4,No,3,7.0,3,Hybrid,6.4
54,60355,No,News & Content,82,4,Reporter,4,No,3,0.2,4,Hybrid,0.2
52,56019,No,News & Content,83,4,Editor,2,Yes,3,5.4,2,Hybrid,1.7
34,70067,No,Engineering,84,4,Broadcast Engineer,4,Yes,3,8.6,2,On-site,0.0
44,42296,No,News & Content,85,3,Photojournalist,4,No,3,0.4,3,Hybrid,0.4
42,54140,No,Engineering,86,2,IT Support,2,No,3,9.1,2,On-site,0.2
36,76107,No,Engineering,87,2,Broadcast Engineer,4,No,2,1.8,4,On-site,1.6
38,113863,No,News & Content,88,4,Reporter,1,No,3,4.5,3,Remote,0.9
45,99353,No,Sales,89,1,Sales Manager,1,No,3,2.9,4,Hybrid,2.5
51,115834,No,Sales,90,3,Account Executive,4,No,3,1.8,2,On-site,1.2
46,58148,No,Engineering,91,2,Broadcast Engineer,2,No,3,6.7,4,Remote,0.1
53,52095,No,News & Content,92,3,Reporter,1,No,4,10.1,3,On-site,1.4
36,38774,No,Engineering,93,4,Broadcast Engineer,1,No,3,3.4,2,Hybrid,3.4
44,34859,Yes,News & Content,94,3,Producer,3,Yes,3,0.8,4,On-site,0.8
48,41378,Yes,Finance,95,1,Accountant,4,Yes,4,8.9,3,On-site,0.6
37,100647,No,Human Resources,96,4,HR Manager,1,No,3,6.7,3,Hybrid,6.7
51,97889,No,Engineering,97,1,Systems Engineer,4,No,3,0.1,3,Hybrid,0.1
32,130107,No,Sales,98,4,Sales Manager,3,Yes,3,7.6,1,Remote,0.6
54,66287,No,Sales,99,1,Sales Coordinator,3,Yes,3,9.2,2,Hybrid,2.3
37,102549,No,News & Content,100,4,Photojournalist,4,No,4,0.3,3,On-site,0.3
54,59151,No,Engineering,101,4,Broadcast Engineer,4,No,4,3.0,3,On-site,2.0
51,118395,No,Human Resources,102,3,HR Generalist,3,No,3,6.7,3,On-site,0.2
31,79714,No,News & Content,103,3,Producer,2,Yes,3,4.8,4,On-site,2.0
30,34000,No,Engineering,104,3,Systems Engineer,4,No,3,0.8,2,On-site,0.8
43,34000,No,Sales,105,3,Account Executive,4,No,2,6.9,4,Remote,1.7
33,92513,Yes,Sales,106,3,Account Executive,2,Yes,4,0.6,1,On-site,0.6
38,83203,No,Finance,107,3,Accountant,3,Yes,3,1.3,3,Remote,0.3
43,102046,No,Sales,108,3,Sales Coordinator,2,No,3,5.0,4,Hybrid,2.5
49,105236,No,Engineering,109,3,Broadcast Engineer,3,Yes,4,1.1,3,On-site,1.1
41,55078,No,Engineering,110,4,Broadcast Engineer,3,No,4,0.4,4,On-site,0.4
39,43197,No,Engineering,111,3,Broadcast Engineer,2,No,3,0.1,3,On-site,0.1
31,107536,No,Sales,112,3,Sales Coordinator,3,No,3,0.8,4,On-site,0.8
36,34000,No,Sales,113,4,Account Executive,3,No,3,2.3,3,Remote,2.3
53,71056,No,Sales,114,2,Account Executive,2,No,3,1.9,2,Hybrid,1.7
27,73768,No,Human Resources,115,2,HR Generalist,4,No,4,7.0,2,On-site,0.5
21,73368,Yes,Sales,116,2,Account Executive,2,No,4,1.0,3,On-site,1.0
48,46437,No,Sales,117,4,Account Executive,4,Yes,3,8.6,4,On-site,1.2
48,98988,Yes,News & Content,118,3,Photojournalist,2,No,3,4.6,3,Hybrid,4.6
47,102913,No,News & Content,119,1,Photojournalist,1,No,2,21.3,4,On-site,0.7
30,85814,No,News & Content,120,3,News Director,1,No,3,2.6,2,Hybrid,2.5
54,83732,No,Sales,121,3,Sales Manager,1,Yes,3,2.8,4,Hybrid,2.6
28,71439,No,Human Resources,122,1,HR Generalist,3,Yes,3,1.6,4,On-site,1.6
30,78309,No,News & Content,123,4,News Director,1,No,3,6.3,4,On-site,0.1
35,56579,No,Finance,124,4,Financial Analyst,4,No,3,3.2,2,On-site,1.9
38,69231,No,News & Content,125,4,Producer,4,No,2,2.2,4,On-site,0.8
29,75450,Yes,News & Content,126,2,News Director,3,Yes,4,3.8,3,On-site,3.8
34,44215,Yes,Finance,127,2,Accountant,1,No,3,0.3,4,On-site,0.3
40,73373,No,Sales,128,3,Sales Manager,3,Yes,3,0.1,3,Hybrid,0.1
25,64710,No,News & Content,129,2,Producer,4,No,3,0.3,2,On-site,0.3
30,34000,No,Sales,130,3,Sales Manager,3,No,2,2.5,4,On-site,2.5
32,82970,Yes,News & Content,131,1,Photojournalist,2,No,4,3.4,2,Hybrid,3.4
28,61091,No,News & Content,132,4,News Director,3,No,4,1.4,3,On-site,1.1
36,61366,No,Sales,133,4,Account Executive,2,No,3,12.0,4,On-site,1.1
47,128374,Yes,Engineering,134,1,Broadcast Engineer,1,Yes,2,6.0,3,Remote,0.2
40,71489,No,Human Resources,135,4,HR Manager,4,No,4,15.9,3,On-site,1.8
36,88999,No,News & Content,136,2,Producer,3,No,3,1.6,2,Hybrid,1.6
30,61625,No,Sales,137,3,Sales Manager,1,No,3,2.9,4,On-site,2.1
28,40794,No,Sales,138,4,Sales Coordinator,2,No,4,3.6,3,Hybrid,0.0
41,34000,No,News & Content,139,4,Producer,2,No,2,4.5,4,On-site,0.4
47,83191,No,News & Content,140,2,Photojournalist,4,No,3,0.8,3,Hybrid,0.8
48,77740,No,News & Content,141,3,Editor,2,No,3,2.6,4,On-site,2.6
46,38515,Yes,News & Content,142,4,Photojournalist,3,Yes,2,5.9,3,Hybrid,3.1
45,103420,No,Sales,143,3,Sales Manager,4,Yes,3,6.4,3,Hybrid,1.1
34,60968,No,News & Content,144,3,Photojournalist,3,No,3,0.1,4,On-site,0.1
54,98780,No,Human Resources,145,4,HR Manager,2,Yes,3,7.4,3,Hybrid,0.1
44,51928,Yes,News & Content,146,2,Photojournalist,1,No,4,0.7,3,Hybrid,0.7
24,71557,No,News & Content,147,4,News Director,4,No,3,4.0,4,Remote,0.5
29,55664,No,News & Content,148,3,Photojournalist,3,No,3,5.4,3,On-site,2.7
54,59201,No,Finance,149,3,Finance Manager,2,No,4,6.5,2,On-site,2.4
35,42060,No,Sales,150,2,Sales Coordinator,4,No,3,1.5,2,Hybrid,0.1
21,43254,Yes,News & Content,151,3,Reporter,1,No,2,1.0,4,On-site,1.0
28,48543,Yes,Finance,152,2,Accountant,2,No,2,0.7,4,Hybrid,0.4
40,104161,No,News & Content,153,4,Producer,1,Yes,3,3.3,4,On-site,2.7
21,66376,No,Sales,154,3,Sales Manager,4,No,3,1.0,4,On-site,1.0
31,88869,Yes,Finance,155,2,Finance Manager,2,No,4,1.3,4,Remote,0.5
43,123200,Yes,News & Content,156,3,Reporter,1,No,3,6.3,2,Hybrid,3.5
39,34000,Yes,News & Content,157,3,Editor,4,No,4,1.5,3,Hybrid,1.1
29,94089,No,Engineering,158,3,IT Support,2,Yes,3,4.3,3,Hybrid,1.0
39,78754,No,News & Content,159,3,Editor,4,No,3,3.2,4,Remote,2.2
35,57328,No,Sales,160,2,Account Executive,4,No,3,0.4,2,Remote,0.3
37,34000,Yes,Finance,161,2,Financial Analyst,2,No,3,7.9,3,On-site,0.2
21,116309,No,Human Resources,162,4,HR Generalist,4,Yes,3,1.0,2,On-site,1.0
40,64750,No,Sales,163,2,Sales Coordinator,4,No,3,1.2,3,On-site,1.2
39,96059,No,Engineering,164,2,IT Support,1,No,3,7.4,3,On-site,0.6
32,69465,No,News & Content,165,2,Editor,4,No,3,6.1,4,Hybrid,5.3
48,81506,No,Engineering,166,1,IT Support,3,Yes,3,9.3,2,Hybrid,1.4
44,114776,No,News & Content,167,4,Editor,4,No,3,0.3,3,Hybrid,0.3
45,73961,Yes,News & Content,168,4,Editor,1,Yes,4,24.3,3,Hybrid,0.2
26,68921,No,Engineering,169,2,Broadcast Engineer,2,No,3,1.9,4,Hybrid,1.9
32,75449,No,Engineering,170,3,IT Support,4,Yes,3,4.8,3,Hybrid,0.6
35,34000,Yes,Sales,171,2,Sales Coordinator,3,No,2,1.0,2,On-site,0.0
32,67516,No,News & Content,172,3,Reporter,1,No,4,1.6,2,Hybrid,1.6
45,69557,No,Human Resources,173,4,HR Generalist,3,No,3,0.8,4,On-site,0.7
42,76056,No,Sales,174,1,Sales Manager,4,No,3,1.3,3,On-site,1.0
21,46906,No,Human Resources,175,3,HR Generalist,3,No,3,1.0,3,On-site,1.0
27,39975,Yes,Human Resources,176,3,HR Generalist,1,No,2,0.3,2,On-site,0.3
46,108045,No,News & Content,177,3,Producer,4,No,3,8.4,3,On-site,0.8
42,69808,No,Engineering,178,3,IT Support,3,No,3,6.4,2,Remote,0.1
51,111079,No,News & Content,179,3,Reporter,1,No,3,1.9,2,On-site,1.9
40,40787,Yes,News & Content,180,2,Photojournalist,1,No,3,16.1,4,On-site,1.1
37,78411,No,News & Content,181,4,Reporter,3,No,3,9.9,4,On-site,7.1
21,57545,No,Sales,182,3,Account Executive,4,No,3,1.0,4,Hybrid,0.4
21,92941,Yes,Sales,183,3,Sales Coordinator,1,No,4,1.0,3,Remote,1.0
57,74373,No,News & Content,184,4,Photojournalist,4,No,3,5.9,2,Hybrid,2.0
34,79843,No,Sales,185,4,Sales Manager,2,Yes,4,7.1,4,Hybrid,1.4
48,55321,No,News & Content,186,3,Editor,3,No,3,1.0,3,Hybrid,1.0
49,66275,No,Engineering,187,4,IT Support,1,No,4,10.1,3,On-site,2.2
35,111926,No,Human Resources,188,2,HR Manager,4,No,4,3.4,4,On-site,3.4
50,34000,Yes,Finance,189,4,Finance Manager,1,No,3,0.3,4,On-site,0.3
31,66650,No,News & Content,190,4,News Director,1,Yes,3,2.4,4,On-site,2.4
33,89592,No,Sales,191,4,Sales Coordinator,2,Yes,3,2.9,3,On-site,2.9
31,89791,No,Sales,192,3,Sales Coordinator,4,No,4,2.9,3,Hybrid,0.3
40,108099,No,News & Content,193,3,Reporter,3,No,3,4.6,2,On-site,0.8
42,57325,Yes,News & Content,194,2,Reporter,4,No,3,0.6,1,Hybrid,0.1
21,59986,No,Sales,195,4,Sales Manager,1,Yes,4,1.0,4,Hybrid,1.0
26,70164,Yes,Finance,196,3,Finance Manager,3,Yes,3,0.4,3,Hybrid,0.4
38,77524,No,Finance,197,4,Finance Manager,1,Yes,4,1.6,3,Hybrid,1.0
21,78157,No,Sales,198,4,Sales Manager,3,No,3,1.0,3,Hybrid,1.0
30,60297,No,Human Resources,199,2,HR Generalist,4,No,3,4.7,3,Remote,2.7
23,46077,No,Sales,200,2,Sales Manager,4,No,4,3.0,4,On-site,2.7
62,93968,No,Human Resources,201,4,HR Manager,3,No,3,0.1,3,Hybrid,0.1
38,34000,No,Sales,202,3,Account Executive,2,No,3,0.4,3,Hybrid,0.4
43,127755,No,News & Content,203,3,Editor,4,No,3,9.5,4,On-site,0.8
43,67076,No,Finance,204,4,Accountant,1,No,3,3.0,4,Remote,3.0
44,47745,No,Sales,205,4,Account Executive,4,No,3,4.4,2,Remote,4.4
27,64636,No,Engineering,206,4,IT Support,4,Yes,3,7.0,1,On-site,0.0
48,50000,No,Sales,207,4,Sales Manager,4,No,3,2.0,3,On-site,2.0
22,84540,No,Engineering,208,4,Broadcast Engineer,2,No,3,0.2,2,Remote,0.2
46,69744,Yes,News & Content,209,1,Editor,2,No,3,0.9,1,Hybrid,0.9
36,51585,No,Finance,210,3,Financial Analyst,2,No,4,8.7,4,Hybrid,3.2
46,34000,Yes,Engineering,211,4,Broadcast Engineer,1,No,3,7.4,2,On-site,3.6
35,169884,No,Sales,212,3,Account Executive,3,Yes,3,0.8,1,On-site,0.1
42,34000,Yes,News & Content,213,2,Photojournalist,3,No,3,2.0,2,On-site,0.2
36,85770,Yes,News & Content,214,2,Photojournalist,3,Yes,4,2.5,4,Hybrid,1.2
23,77982,Yes,News & Content,215,3,News Director,2,No,3,1.3,1,Remote,1.0
37,101037,No,Engineering,216,2,IT Support,3,No,3,1.8,4,On-site,0.7
62,96017,No,Sales,217,4,Sales Manager,3,Yes,3,0.3,2,Remote,0.0
28,34000,Yes,News & Content,218,4,Producer,2,Yes,4,8.0,4,Hybrid,1.0
52,34000,Yes,Finance,219,3,Accountant,1,Yes,3,4.9,3,Remote,3.3
45,91965,No,Human Resources,220,4,HR Generalist,2,Yes,2,3.7,3,Hybrid,0.4
44,83804,No,Sales,221,2,Sales Manager,4,No,4,1.4,3,Hybrid,1.4
54,108159,No,Finance,222,4,Financial Analyst,3,No,3,1.7,1,Hybrid,0.3
45,43959,No,Engineering,223,4,IT Support,3,No,4,7.6,1,On-site,2.8
51,88241,No,News & Content,224,2,Editor,3,No,3,9.5,4,Remote,0.2
34,76014,No,Engineering,225,2,IT Support,2,No,3,3.6,3,On-site,0.9
21,57913,No,News & Content,226,4,Photojournalist,4,Yes,3,0.3,4,Hybrid,0.3
37,64516,No,Finance,227,3,Accountant,1,No,3,17.0,4,On-site,0.5
38,46187,No,News & Content,228,4,Reporter,3,Yes,4,3.0,3,On-site,0.2
52,106937,No,Sales,229,4,Sales Coordinator,1,No,3,1.4,2,On-site,1.4
22,132349,No,Engineering,230,4,Broadcast Engineer,2,No,3,0.6,1,On-site,0.6
22,86399,No,News & Content,231,3,Photojournalist,4,Yes,4,2.0,4,On-site,2.0
36,81809,No,Sales,232,3,Sales Coordinator,4,No,3,0.4,3,Hybrid,0.4
41,87902,Yes,Human Resources,233,2,HR Generalist,2,Yes,3,0.1,2,Hybrid,0.1
47,85991,No,Sales,234,3,Sales Coordinator,4,No,3,8.2,2,Hybrid,3.0
24,62491,No,Sales,235,4,Sales Manager,2,No,3,4.0,4,On-site,0.1
46,56612,No,Engineering,236,1,Systems Engineer,3,No,3,4.7,2,Remote,0.1
45,67558,No,Sales,237,4,Sales Coordinator,3,No,4,0.5,4,On-site,0.5
45,101371,No,News & Content,238,2,Producer,4,No,3,2.0,4,Hybrid,0.9
44,63971,No,Finance,239,3,Financial Analyst,4,No,3,0.4,3,Hybrid,0.4
37,50523,No,News & Content,240,3,Photojournalist,3,No,3,2.4,4,On-site,1.7
53,55748,No,News & Content,241,3,Producer,1,Yes,3,9.6,3,On-site,0.5
29,70907,No,News & Content,242,4,News Director,4,No,3,3.8,3,On-site,3.1
43,134137,Yes,News & Content,243,1,Producer,3,Yes,3,0.6,3,On-site,0.6
39,100775,No,News & Content,244,3,Photojournalist,4,Yes,4,6.7,4,Hybrid,2.8
48,69217,Yes,News & Content,245,2,Producer,1,No,3,1.0,3,Hybrid,1.0
36,64280,No,News & Content,246,4,Reporter,3,No,3,10.4,1,Hybrid,0.2
21,89351,Yes,News & Content,247,3,Photojournalist,3,No,3,1.0,1,Hybrid,1.0
26,74910,No,News & Content,248,3,News Director,3,No,3,4.5,3,On-site,2.5
53,41168,Yes,Sales,249,2,Account Executive,3,No,3,1.9,2,Hybrid,1.2
40,48266,Yes,News & Content,250,2,Photojournalist,2,No,3,5.7,2,On-site,5.2
36,41711,No,Sales,251,3,Sales Manager,4,No,3,2.7,3,On-site,2.2
39,89192,No,News & Content,252,4,Photojournalist,3,No,3,4.8,4,On-site,3.0
34,85763,No,News & Content,253,3,Photojournalist,1,No,3,3.7,3,Remote,3.7
44,104519,No,News & Content,254,4,Editor,4,Yes,3,24.0,4,On-site,0.1
35,102782,Yes,Sales,255,2,Sales Coordinator,1,Yes,3,0.1,1,On-site,0.1
26,78980,No,Sales,256,4,Sales Coordinator,3,No,3,4.4,4,On-site,2.7
35,87693,No,News & Content,257,4,Editor,2,No,3,3.4,4,Hybrid,3.4
31,77657,Yes,News & Content,258,3,Reporter,1,Yes,3,0.5,4,Hybrid,0.5
38,57039,Yes,News & Content,259,1,News Director,4,Yes,3,2.7,3,Hybrid,0.4
40,78757,No,News & Content,260,4,Reporter,2,No,2,2.3,3,On-site,1.0
47,79315,No,News & Content,261,2,Producer,3,No,3,9.7,4,On-site,0.5
38,57539,No,News & Content,262,4,Photojournalist,4,No,3,0.3,4,On-site,0.2
31,70930,No,Sales,263,3,Sales Manager,1,No,3,11.0,3,On-site,0.4
33,61317,Yes,News & Content,264,3,Photojournalist,3,Yes,3,1.2,1,On-site,1.2
33,64203,No,Engineering,265,3,IT Support,4,No,3,8.0,2,On-site,3.3
48,68730,No,Finance,266,4,Accountant,3,No,4,7.8,3,On-site,3.3
26,58017,No,News & Content,267,3,Photojournalist,4,No,4,3.0,3,On-site,1.0
21,120415,No,Engineering,268,4,Systems Engineer,3,No,3,1.0,3,On-site,1.0
28,51978,No,Sales,269,2,Account Executive,4,No,3,0.9,4,On-site,0.9
49,34000,No,Sales,270,1,Account Executive,4,No,3,5.9,2,Hybrid,1.6
43,106411,No,News & Content,271,3,Reporter,2,Yes,4,6.2,3,On-site,1.5
31,96206,No,Sales,272,3,Sales Coordinator,4,No,3,4.0,3,Hybrid,1.0
39,60590,Yes,News & Content,273,3,Photojournalist,4,Yes,3,1.2,4,Hybrid,1.2
45,75673,No,Sales,274,4,Sales Coordinator,2,No,2,2.8,3,Hybrid,0.5
45,40688,Yes,News & Content,275,3,Producer,4,Yes,3,3.8,1,Hybrid,3.8
25,75358,No,Sales,276,3,Sales Coordinator,3,No,3,1.6,2,Hybrid,1.6
46,113234,Yes,News & Content,277,2,Producer,2,No,3,20.8,1,Hybrid,0.7
36,43522,Yes,Sales,278,3,Account Executive,2,Yes,2,1.2,4,Remote,0.0
32,47593,No,News & Content,279,4,Reporter,4,No,3,0.5,3,Hybrid,0.5
30,76131,No,News & Content,280,4,Producer,3,Yes,3,2.6,4,Hybrid,1.5
24,127643,No,Finance,281,3,Accountant,1,No,3,0.8,4,Remote,0.8
50,90611,Yes,News & Content,282,2,Editor,1,Yes,3,2.4,4,On-site,0.2
39,52975,No,News & Content,283,3,Photojournalist,1,Yes,3,6.0,3,On-site,0.4
42,34000,Yes,News & Content,284,3,News Director,4,No,3,0.1,2,On-site,0.1
32,101074,No,Engineering,285,3,Systems Engineer,1,No,3,1.1,3,Hybrid,0.6
49,68023,No,News & Content,286,4,Photojournalist,3,Yes,3,1.0,2,On-site,1.0
36,52216,No,Finance,287,4,Accountant,3,Yes,3,0.6,3,On-site,0.6
42,70206,No,News & Content,288,3,Producer,4,No,3,10.3,3,Hybrid,0.5
33,56931,No,Sales,289,1,Sales Manager,4,No,3,3.3,2,Hybrid,0.7
31,113004,No,News & Content,290,3,Photojournalist,3,No,3,4.5,3,Hybrid,3.8
34,64558,No,News & Content,291,3,Reporter,3,No,4,6.6,2,On-site,0.7
47,69355,No,Engineering,292,3,IT Support,4,No,3,17.2,3,Hybrid,6.5
36,34000,Yes,Sales,293,2,Sales Coordinator,2,No,3,2.5,1,Remote,1.2
41,98399,Yes,News & Content,294,4,Producer,2,Yes,2,7.2,1,On-site,0.9
42,61975,No,Engineering,295,1,Systems Engineer,3,No,2,11.7,1,Hybrid,1.1
37,140016,Yes,News & Content,296,2,Photojournalist,4,Yes,3,3.8,3,On-site,0.2
44,56635,No,Sales,297,3,Account Executive,1,No,3,12.0,3,Hybrid,0.2
31,86048,Yes,News & Content,298,2,Editor,2,No,3,3.0,2,On-site,1.7
53,47933,Yes,News & Content,299,2,Reporter,3,No,3,1.0,4,On-site,0.8
26,85099,Yes,Engineering,300,1,Broadcast Engineer,1,Yes,3,3.5,4,On-site,1.3
46,123229,No,Sales,301,3,Sales Coordinator,2,No,3,9.0,3,Hybrid,1.2
42,87556,Yes,Finance,302,3,Finance Manager,2,Yes,3,1.5,3,Hybrid,1.5
33,97052,No,News & Content,303,3,News Director,3,No,3,5.1,3,Hybrid,1.2
27,36939,No,Sales,304,2,Account Executive,3,No,4,4.9,2,On-site,0.3
33,34000,Yes,News & Content,305,2,News Director,1,No,3,0.1,1,On-site,0.1
25,39309,No,Finance,306,3,Financial Analyst,1,No,3,5.0,3,Hybrid,0.3
28,101026,No,Sales,307,4,Sales Manager,4,No,4,3.4,4,On-site,2.5
26,90631,Yes,News & Content,308,2,News Director,2,No,3,1.8,1,On-site,1.8
44,62835,Yes,News & Content,309,3,Editor,2,Yes,4,0.1,2,Hybrid,0.1
47,34000,Yes,Engineering,310,1,IT Support,2,Yes,4,2.2,2,On-site,0.4
21,60950,No,News & Content,311,3,Reporter,2,No,3,1.0,4,Hybrid,1.0
41,71996,No,News & Content,312,3,News Director,4,Yes,3,6.3,2,Hybrid,0.7
40,34000,No,Engineering,313,2,IT Support,2,No,4,3.3,2,Remote,2.3
37,71932,No,Sales,314,2,Sales Manager,4,No,3,7.7,2,Hybrid,5.0
31,104548,No,Human Resources,315,4,HR Manager,3,No,3,11.0,4,Remote,3.9
